pupID,litter,sex,treatment,weight.challenge,weight,ch.weight,pch.weight,hr.post.challenge,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.overall,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right
F4_G6_2015.12.23,16,F,ch-0.75,3.89,3.58,-0.31,-7.97,25.17,v2,4,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
R1_G6_2015.12.23,16,M,ch-0.75,3.85,3.58,-0.27,-7.01,25.17,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R2_G6_2015.12.23,16,F,ch-0.75,3.75,3.43,-0.32,-8.53,25.17,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R3_G6_2015.12.23,16,F,ch-0.75,3.76,3.72,-0.04,-1.06,25.17,v2,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R4_G6_2015.12.23,16,F,nc,4.05,4.58,0.53,13.09,25.17,v2,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F1_G6_2016.01.10,11,M,ch-0.75,4.1,3.77,-0.33,-8.05,23.67,v2,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
F2_G6_2016.01.10,11,M,ch-0.75,3.8,3.57,-0.23,-6.05,23.67,v2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
R1_G6_2016.01.10,11,F,ch-0.75,3.9,3.59,-0.31,-7.95,23.67,v2,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
R2_G6_2016.01.10,11,M,ch-0.75,3.84,3.62,-0.22,-5.73,23.67,v2,6,6,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R3_G6_2016.01.10,11,F,ch-0.75,3.97,3.68,-0.29,-7.30,23.67,v2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
F3_G7_2015.12.04,2,F,ch-0.85,3.3,3.49,0.19,5.76,23.83,v2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
