pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,v1.hr.post.challenge #hours post challenge at first observation,v1.score #score at first observation,v1.time #day and time of first observation,v1.weight #weight at first observation,v1.ch.weight # absolute weight change from challenge to v1,v1.pch.weight #percent weight change from challenge to v1,v2.hr.post.challenge,v2.score,v2.time,v2.weight,v2.ch.weight,v2.pch.weight,v3.hr.post.challenge,v3.score,v3.time,v3.weight,v3.ch.weight,v3.pch.weight,v4.hr.post.challenge,v4.score,v4.time,v4.weight,v4.ch.weight,v4.pch.weight,v5.hr.post.challenge,v5.score,v5.time,v5.weight,v5.ch.weight,v5.pch.weight,v6.hr.post.challenge,v6.score,v6.time,v6.weight,v6.ch.weight,v6.pch.weight,v7.hr.post.challenge,v7.score,v7.time,v7.weight,v7.ch.weight,v7.pch.weight,v8.hr.post.challenge,v8.score,v8.time,v8.weight,v8.ch.weight,v8.pch.weight,v9.hr.post.challenge,v9.score,v9.time,v9.weight,v9.ch.weight,v9.pch.weight,v10.hr.post.challenge,v10.score,v10.time,v10.weight,v10.ch.weight,v10.pch.weight,v11.hr.post.challenge,v11.score,v11.time,v11.weight,v11.ch.weight,v11.pch.weight,v12.hr.post.challenge,v12.score
2015.08.07_F10_M6 (M)_saline.vacc_old.0.8,3,M,die,2015.08.15 20:40,3.93,12.33333333,8,2015.08.16 09:00,3.97,-0.04,-1.017811705,16.25,6,2015.08.16 12:55,,,,21.28333333,4,2015.08.16 17:57,,,,26.16666667,6,2015.08.16 22:50,3.7,-0.23,-5.852417303,35.15,4,2015.08.17 07:49,3.56,-0.37,-9.41475827,40.41666667,0,2015.08.17 13:05,3.5,-0.43,-10.94147583,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.28,12.33333333,8,2015.08.16 09:00,4.34,-0.06,-1.401869159,16.25,6,2015.08.16 12:55,,,,21.28333333,8,2015.08.16 17:57,,,,26.16666667,6,2015.08.16 22:50,4.48,0.2,4.672897196,35.15,6,2015.08.17 07:49,4.42,0.14,3.271028037,40.41666667,6,2015.08.17 13:05,,,,44.75,6,2015.08.17 17:25,,,,49.33333333,8,2015.08.17 22:00,4.7,0.42,9.813084112,66.16666667,8,2015.08.18 14:50,4.99,0.71,16.58878505,96,8,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,die,2015.08.15 20:40,4.38,12.33333333,8,2015.08.16 09:00,4.51,-0.13,-2.96803653,16.25,6,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,,26.16666667,6,2015.08.16 22:50,4.15,-0.23,-5.251141553,35.15,6,2015.08.17 07:49,3.94,-0.44,-10.0456621,40.41666667,0,2015.08.17 13:05,3.81,-0.57,-13.01369863,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.2,12.76666667,2,2015.08.16 08:41,4.18,0.02,0.476190476,16.58333333,4,2015.08.16 12:30,,,,21.75,6,2015.08.16 17:40,,,,26.58333333,6,2015.08.16 22:30,3.8,-0.4,-9.523809524,35.43333333,6,2015.08.17 7:21,3.82,-0.38,-9.047619048,40.91666667,8,2015.08.17 12:50,,,,45.36666667,6,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,4.12,-0.08,-1.904761905,66.75,8,2015.08.18 14:40,4.22,0.02,0.476190476,96,8,2015.08.19 12:25,4.6,0.4,9.523809524,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.29,12.76666667,6,2015.08.16 08:41,4.19,0.1,2.331002331,16.58333333,4,2015.08.16 12:30,,,,21.75,6,2015.08.16 17:40,,,,26.58333333,8,2015.08.16 22:30,3.99,-0.3,-6.993006993,35.43333333,6,2015.08.17 7:21,4.04,-0.25,-5.827505828,40.91666667,8,2015.08.17 12:50,,,,45.36666667,6,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,4.27,-0.02,-0.466200466,66.75,8,2015.08.18 14:40,4.32,0.03,0.699300699,96,8,2015.08.19 12:25,4.63,0.34,7.925407925,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,live,2015.08.15 19:55,4.9,12.76666667,3,2015.08.16 08:41,4.8,0.1,2.040816327,16.58333333,3,2015.08.16 12:30,,,,21.75,8,2015.08.16 17:40,,,,26.58333333,8,2015.08.16 22:30,4.36,-0.54,-11.02040816,35.43333333,6,2015.08.17 7:21,4.4,-0.5,-10.20408163,40.91666667,8,2015.08.17 12:50,,,,45.36666667,6,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,4.45,-0.45,-9.183673469,66.75,8,2015.08.18 14:40,4.73,-0.17,-3.469387755,96,8,2015.08.19 12:25,4.96,0.06,1.224489796,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,4.81,12.76666667,6,2015.08.16 08:41,4.64,0.17,3.534303534,16.58333333,4,2015.08.16 12:30,,,,21.75,6,2015.08.16 17:40,,,,26.58333333,8,2015.08.16 22:30,4.42,-0.39,-8.108108108,35.43333333,6,2015.08.17 7:21,4.58,-0.23,-4.781704782,40.91666667,8,2015.08.17 12:50,,,,45.36666667,7,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,4.79,-0.02,-0.415800416,66.75,8,2015.08.18 14:40,4.82,0.01,0.207900208,96,8,2015.08.19 12:25,5.28,0.47,9.771309771,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,5.15,12.76666667,6,2015.08.16 08:41,5.08,0.07,1.359223301,16.58333333,4,2015.08.16 12:30,,,,21.75,6,2015.08.16 17:40,,,,26.58333333,8,2015.08.16 22:30,4.83,-0.32,-6.213592233,35.43333333,6,2015.08.17 7:21,4.97,-0.18,-3.495145631,40.91666667,8,2015.08.17 12:50,,,,45.36666667,8,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,5.29,0.14,2.718446602,66.75,8,2015.08.18 14:40,5.29,0.14,2.718446602,96,8,2015.08.19 12:25,5.69,0.54,10.48543689,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.99,12.76666667,6,2015.08.16 08:41,4.88,0.11,2.204408818,16.58333333,4,2015.08.16 12:30,,,,21.75,6,2015.08.16 17:40,,,,26.58333333,8,2015.08.16 22:30,4.5,-0.49,-9.819639279,35.43333333,6,2015.08.17 7:21,4.63,-0.36,-7.214428858,40.91666667,8,2015.08.17 12:50,,,,45.36666667,8,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,5.06,0.07,1.402805611,66.75,8,2015.08.18 14:40,5.08,0.09,1.803607214,96,8,2015.08.19 12:25,5.37,0.38,7.615230461,NaN,NaN,,,,,NaN,NaN
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.89,12.76666667,3,2015.08.16 08:41,4.74,0.15,3.067484663,16.58333333,8,2015.08.16 12:30,,,,21.75,8,2015.08.16 17:40,,,,26.58333333,8,2015.08.16 22:30,4.36,-0.53,-10.83844581,35.43333333,6,2015.08.17 7:21,4.54,-0.35,-7.157464213,40.91666667,7,2015.08.17 12:50,,,,45.36666667,8,2015.08.17 17:17,,,,50.08333333,8,2015.08.17 22:00,4.97,0.08,1.63599182,66.75,8,2015.08.18 14:40,4.97,0.08,1.63599182,96,8,2015.08.19 12:25,5.26,0.37,7.566462168,NaN,NaN,,,,,NaN,NaN
