pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,vhr.post.challenge #hours post challenge at observation time,score #score at time of observation,time #day and time of first observation,weight #weight at  observation,v1.ch.weight # absolute weight change from challenge to v1,.pch.weight #percent weight change from challenge to current observation
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,live,2015.08.15 20:22,5.6,12.55,6,2015.08.16 08:55,5.49,0.11,1.964285714
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,die,2015.08.15 20:22,5.58,12.55,3,2015.08.16 08:55,5.55,0.03,0.537634409
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,die,2015.08.15 20:22,5.19,12.55,6,2015.08.16 08:55,5.19,0,0
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,live,2015.08.15 20:22,5.53,12.55,3,2015.08.16 08:55,5.45,0.08,1.446654611
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,4.83,12.55,3,2015.08.16 08:55,4.71,0.12,2.48447205
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,5.46,12.55,3,2015.08.16 08:55,5.34,0.12,2.197802198
2015.08.20_G1_M2 (M)_saline.vacc_old.0.95,6,M,die,2015.08.28 18:25,4.76,13.33333333,2,2015.08.29 07:45,4.75,0.01,0.210084034
2015.08.20_G1_M3 (M)_saline.vacc_old.0.95,6,M,die,2015.08.28 18:25,4.54,13.33333333,6,2015.08.29 07:45,4.55,-0.01,-0.220264317
2015.08.20_G1_M4 (F)_saline.vacc_old.0.95,6,F,live,2015.08.28 18:25,4.54,13.33333333,6,2015.08.29 07:45,4.5,0.04,0.881057269
2015.08.29_F1_M5 (M)_Sauton_old.0.95,7,M,die,2015.09.05 20:00,3.73,12.08333333,3,2015.09.06 08:05,3.76,-0.03,-0.804289544
2015.08.29_F1_M6 (F)_Sauton_old.0.95,7,F,die,2015.09.05 20:00,3.8,12.08333333,2,2015.09.06 08:05,3.86,-0.06,-1.578947368
2015.08.29_F2_M4 (M)_Sauton_NA,8,M,die,2015.09.04 20:00,5.69,12.33333333,2,2015.09.06 08:20,5.71,-0.02,-0.351493849
2015.08.29_F1_M7 (F)_Sauton_old.0.95,9,F,live,2015.09.05 20:00,3.54,12.08333333,3,2015.09.06 08:05,3.55,-0.01,-0.282485876
2015.09.05_G2_M1 (F)_Sauton_old.0.95,10,F,die,2015.09.13 20:10,4.9,14.58333333,3,2015.09.14 10:45,4.61,0.29,5.918367347
2015.09.05_G2_M2 (M)_Sauton_old.0.95,10,M,die,2015.09.13 20:10,5.2,14.58333333,6,2015.09.14 10:45,4.97,0.23,4.423076923
2015.09.05_G2_M3 (F)_Sauton_old.0.95,10,F,die,2015.09.13 20:10,5.12,14.58333333,6,2015.09.14 10:45,4.75,0.37,7.2265625
2015.09.05_G2_M4 (M)_Sauton_old.0.95,10,M,die,2015.09.13 20:10,4.68,14.58333333,4,2015.09.14 10:45,4.56,0.12,2.564102564
2015.09.07_G3_M1 (M)_Sauton_old.0.95,11,M,die,2015.09.14 17:15,5.01,15.5,4,2015.09.15 8:45,4.86,0.15,2.994011976
2015.09.07_G3_M2 (F)_Sauton_old.0.95,11,F,die,2015.09.14 17:15,5.67,15.5,2,2015.09.15 8:45,5.47,0.2,3.527336861
2015.09.07_G3_M3 (M)_Sauton_old.0.95,11,M,die,2015.09.14 17:15,5.56,15.5,7,2015.09.15 8:45,5.62,-0.06,-1.079136691
2015.09.07_G3_M4 (F)_Sauton_old.0.95,11,F,die,2015.09.14 17:15,5.49,15.5,0,2015.09.15 8:45,5.37,0.12,2.18579235
