pupID,litter,sex,treatment,outcome,challenge.time,weight.challenge,weight,ch.weight,pch.weight,time,hr.post.challenge ,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.over,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right,obs.found.dead,observations
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,saline,live,2015.08.15 19:55,4.89,4.74,0.15,3.067484663,2015.08.16 08:41,12.76666667,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,saline,live,2015.08.15 20:22,5.6,5.49,0.11,1.964285714,2015.08.16 08:55,12.55,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,saline,found.dead,2015.08.15 20:22,5.58,5.55,0.03,0.537634409,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,saline,found.dead,2015.08.15 20:22,5.19,5.19,0,0,2015.08.16 08:55,12.55,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,saline,live,2015.08.15 20:22,5.53,5.45,0.08,1.446654611,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,saline,live,2015.08.15 20:22,4.83,4.71,0.12,2.48447205,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,saline,live,2015.08.15 20:22,5.46,5.34,0.12,2.197802198,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.20_G1_M2 (M)_saline.vacc_old.0.95,6,M,saline,die,2015.08.28 18:25,4.76,4.75,0.01,0.210084034,2015.08.29 07:45,13.33333333,v1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
2015.08.20_G1_M3 (M)_saline.vacc_old.0.95,6,M,saline,die,2015.08.28 18:25,4.54,4.55,-0.01,-0.220264317,2015.08.29 07:45,13.33333333,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,diarrhea
2015.08.20_G1_M4 (F)_saline.vacc_old.0.95,6,F,saline,live,2015.08.28 18:25,4.54,4.5,0.04,0.881057269,2015.08.29 07:45,13.33333333,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,diarrhea
2015.08.20_G1_M5 (M)_BCG_old.0.95,6,M,BCG,live,2015.08.28 18:25,4.71,4.71,0,0,2015.08.29 07:45,13.33333333,v1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
2015.08.20_G1_M6 (M)_BCG_old.0.95,6,M,BCG,live,2015.08.28 18:25,4.77,4.75,0.02,0.419287212,2015.08.29 07:45,13.33333333,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.20_G1_M7 (F)_BCG_old.0.95,6,F,BCG,found.dead,2015.08.28 18:25,4.24,4.25,-0.01,-0.235849057,2015.08.29 07:45,13.33333333,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.29_F1_M1 (M)_BCG_old.0.95,7,M,BCG,live,2015.09.05 20:00,3.5,3.51,-0.01,-0.285714286,2015.09.06 08:05,12.08333333,v1,2,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F1_M2 (F)_BCG_old.0.95,7,F,BCG,die,2015.09.05 20:00,3.81,3.82,-0.01,-0.262467192,2015.09.06 08:05,12.08333333,v1,2,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F1_M3 (F)_BCG_old.0.95,7,F,BCG,die,2015.09.05 20:00,3.86,3.91,-0.05,-1.295336788,2015.09.06 08:05,12.08333333,v1,3,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F1_M5 (M)_Sauton_old.0.95,7,M,Sauton,die,2015.09.05 20:00,3.73,3.76,-0.03,-0.804289544,2015.09.06 08:05,12.08333333,v1,3,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F1_M6 (F)_Sauton_old.0.95,7,F,Sauton,die,2015.09.05 20:00,3.8,3.86,-0.06,-1.578947368,2015.09.06 08:05,12.08333333,v1,2,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F2_M1 (M)_BCG_NA,8,M,BCG,die,2015.09.04 20:00,4.02,3.98,0.04,0.995024876,2015.09.06 08:20,12.33333333,v1,2,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F2_M3 (M)_BCG_NA,8,M,BCG,die,2015.09.04 20:00,5.51,5.48,0.03,0.54446461,2015.09.06 08:20,12.33333333,v1,4,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.29_F2_M4 (M)_Sauton_NA,8,M,Sauton,die,2015.09.04 20:00,5.69,5.71,-0.02,-0.351493849,2015.09.06 08:20,12.33333333,v1,2,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,
2015.09.05_G2_M1 (F)_Sauton_old.0.95,10,F,Sauton,die,2015.09.13 20:10,4.9,4.61,0.29,5.918367347,2015.09.14 10:45,14.58333333,v1,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.09.05_G2_M2 (M)_Sauton_old.0.95,10,M,Sauton,die,2015.09.13 20:10,5.2,4.97,0.23,4.423076923,2015.09.14 10:45,14.58333333,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.09.05_G2_M3 (F)_Sauton_old.0.95,10,F,Sauton,die,2015.09.13 20:10,5.12,4.75,0.37,7.2265625,2015.09.14 10:45,14.58333333,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.09.05_G2_M4 (M)_Sauton_old.0.95,10,M,Sauton,found.dead,2015.09.13 20:10,4.68,4.56,0.12,2.564102564,2015.09.14 10:45,14.58333333,v1,4,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
2015.09.05_G2_M5 (F)_BCG_old.0.95,10,F,BCG,live,2015.09.13 20:10,4.96,4.86,0.1,2.016129032,2015.09.14 10:45,14.58333333,v1,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.09.05_G2_M6 (F)_BCG_old.0.95,10,F,BCG,found.dead,2015.09.13 20:10,4.82,4.7,0.12,2.489626556,2015.09.14 10:45,14.58333333,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.09.07_G3_M1 (M)_Sauton_old.0.95,11,M,Sauton,die,2015.09.14 17:15,5.01,4.86,0.15,2.994011976,2015.09.15 8:45,15.5,v1,4,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,
2015.09.07_G3_M2 (F)_Sauton_old.0.95,11,F,Sauton,found.dead,2015.09.14 17:15,5.67,5.47,0.2,3.527336861,2015.09.15 8:45,15.5,v1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
2015.09.07_G3_M3 (M)_Sauton_old.0.95,11,M,Sauton,found.dead,2015.09.14 17:15,5.56,5.62,-0.06,-1.079136691,2015.09.15 8:45,15.5,v1,7,7,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2015.09.07_G3_M4 (F)_Sauton_old.0.95,11,F,Sauton,die,2015.09.14 17:15,5.49,5.37,0.12,2.18579235,2015.09.15 8:45,15.5,v1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,diarrhea
2015.09.07_G3_M5 (F)_BCG_old.0.95,11,F,BCG,live,2015.09.14 17:15,5.18,5.02,0.16,3.088803089,2015.09.15 8:45,15.5,v1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
2015.09.07_G3_M6 (M)_BCG_old.0.95,11,M,BCG,live,2015.09.14 17:15,5.68,5.52,0.16,2.816901408,2015.09.15 8:45,15.5,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.09.07_G3_M7 (M)_BCG_old.0.95,11,M,BCG,live,2015.09.14 17:15,5.53,5.36,0.17,3.074141049,2015.09.15 8:45,15.5,v1,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.10.08_G3_M1 (F)_no.vaccination_new.0.85,19,F,no.vaccination,live,2015.10.15 18:50,3.27,3.3,-0.03,-0.917431193,2015.10.16 09:00,14.16666667,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
